"lambda, nm",intensivity (0 deg),intensivity (5 deg),intensivity (10 deg),intensivity (15 deg),intensivity (20 deg),intensivity (25 deg),intensivity (30 deg),intensivity (35 deg),intensivity (40 deg),intensivity (45 deg),intensivity (50 deg),intensivity (55 deg),intensivity (60 deg),intensivity (65 deg),intensivity (70 deg),intensivity (75 deg),intensivity (80 deg),intensivity (85 deg)
1072.525,61.111,66.667,72.222,34.722,45.833,63.889,52.778,48.611,65.278,30.556,27.778,50.0,27.778,47.222,48.611,9.722,0.0,25.0
1072.766,56.25,77.083,68.75,45.833,89.583,85.417,50.0,75.0,77.083,56.25,47.917,68.75,20.833,64.583,45.833,22.917,0.0,16.667
1073.006,35.484,100.0,74.194,70.968,100.0,83.871,58.065,100.0,83.871,58.065,54.839,87.097,0.0,64.516,0.0,41.935,0.0,0.0
1073.247,78.431,100.0,94.118,92.157,58.824,54.902,47.059,100.0,78.431,70.588,58.824,37.255,82.353,54.902,3.922,56.863,47.059,21.569
1073.488,48.837,100.0,25.581,44.186,55.814,9.302,62.791,100.0,51.163,62.791,34.884,0.0,51.163,23.256,0.0,18.605,34.884,0.0
1073.728,63.636,68.182,25.0,54.545,84.091,54.545,84.091,100.0,34.091,47.727,65.909,40.909,70.455,36.364,0.0,38.636,52.273,29.545
1073.969,93.75,0.0,100.0,68.75,62.5,6.25,100.0,100.0,50.0,75.0,100.0,37.5,93.75,0.0,0.0,0.0,100.0,81.25
1074.210,57.576,0.0,100.0,87.879,45.455,33.333,87.879,60.606,54.545,27.273,81.818,100.0,100.0,18.182,0.0,0.0,57.576,54.545
1074.450,74.286,0.0,71.429,100.0,88.571,71.429,80.0,91.429,40.0,88.571,94.286,100.0,85.714,88.571,0.0,5.714,14.286,62.857
1074.691,55.357,17.857,44.643,75.0,73.214,82.143,82.143,92.857,50.0,58.929,69.643,53.571,82.143,67.857,26.786,30.357,44.643,60.714
1074.931,57.143,32.143,78.571,100.0,100.0,60.714,57.143,100.0,67.857,100.0,71.429,53.571,100.0,39.286,35.714,60.714,42.857,96.429
1075.172,60.0,0.0,100.0,100.0,100.0,40.0,100.0,100.0,46.667,66.667,73.333,0.0,100.0,66.667,0.0,100.0,0.0,33.333
1075.413,100.0,9.091,100.0,100.0,100.0,27.273,95.455,100.0,72.727,100.0,22.727,0.0,100.0,68.182,0.0,27.273,0.0,0.0
