"lambda, nm",intensivity (0 deg),intensivity (5 deg),intensivity (10 deg),intensivity (15 deg),intensivity (20 deg),intensivity (25 deg),intensivity (30 deg),intensivity (35 deg),intensivity (40 deg),intensivity (45 deg),intensivity (50 deg),intensivity (55 deg),intensivity (60 deg),intensivity (65 deg),intensivity (70 deg),intensivity (75 deg),intensivity (80 deg),intensivity (85 deg)
350.257,50.515,61.856,25.773,38.144,5.155,40.206,29.897,44.33,41.237,1.031,26.804,39.175,50.515,39.175,27.835,25.773,18.557,9.278
350.522,31.884,21.739,2.899,28.986,15.942,24.638,8.696,27.536,5.797,0.0,10.145,5.797,31.884,10.145,28.986,1.449,0.0,0.0
350.787,25.301,24.096,25.301,30.12,50.602,25.301,9.639,40.964,15.663,49.398,28.916,22.892,46.988,19.277,30.12,14.458,8.434,22.892
351.053,28.182,21.818,30.0,20.909,30.909,25.455,11.818,30.909,21.818,28.182,24.545,21.818,26.364,43.636,26.364,10.909,15.455,21.818
351.318,13.0,13.0,26.0,21.0,12.0,9.0,16.0,21.0,18.0,25.0,8.0,7.0,7.0,40.0,22.0,6.0,13.0,7.0
351.584,0.0,0.0,30.0,13.333,0.0,0.0,0.0,0.0,1.667,15.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0
351.849,0.0,0.0,33.333,33.333,0.0,0.0,5.882,0.0,0.0,13.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352.114,0.0,14.667,30.667,9.333,10.667,6.667,20.0,14.667,17.333,36.0,28.0,8.0,22.667,0.0,16.0,5.333,0.0,0.0
352.380,35.897,44.872,47.436,2.564,24.359,19.231,29.487,30.769,35.897,14.103,23.077,3.846,34.615,6.41,26.923,25.641,21.795,11.538
352.645,50.562,74.157,24.719,11.236,2.247,20.225,6.742,42.697,19.101,16.854,28.09,20.225,13.483,23.596,34.831,11.236,34.831,8.989
352.910,27.885,37.5,25.962,31.731,2.885,21.154,15.385,50.962,15.385,28.846,29.808,43.269,18.269,25.962,13.462,25.0,35.577,9.615
353.176,24.719,14.607,35.955,35.955,0.0,15.73,16.854,47.191,10.112,30.337,29.213,46.067,13.483,15.73,10.112,14.607,25.843,3.371
353.441,30.882,0.0,38.235,11.765,0.0,0.0,20.588,25.0,7.353,8.824,33.824,4.412,0.0,25.0,23.529,0.0,10.294,0.0
353.706,71.795,24.359,46.154,14.103,11.538,19.231,23.077,37.179,28.205,1.282,23.077,19.231,23.077,46.154,26.923,15.385,0.0,0.0
353.972,37.624,41.584,36.634,28.713,32.673,23.762,27.723,37.624,47.525,29.703,32.673,30.693,51.485,28.713,19.802,25.743,12.871,3.96
354.237,34.343,31.313,29.293,38.384,44.444,29.293,41.414,27.273,28.283,43.434,39.394,36.364,45.455,22.222,16.162,11.111,17.172,7.071
354.502,15.455,40.0,13.636,30.0,34.545,13.636,34.545,20.0,27.273,27.273,30.0,6.364,27.273,4.545,15.455,0.0,30.0,0.0
354.767,13.333,20.833,11.667,18.333,2.5,19.167,32.5,12.5,25.0,8.333,32.5,7.5,6.667,10.833,6.667,14.167,28.333,0.833
355.033,0.0,9.615,0.0,0.0,0.0,8.654,19.231,4.808,11.538,0.0,13.462,0.0,0.0,5.769,0.0,5.769,0.0,0.0
355.298,22.689,31.092,0.0,5.042,10.924,26.891,36.975,36.975,22.689,23.529,19.328,21.008,31.933,35.294,4.202,42.017,19.328,5.042
355.563,36.054,38.095,23.129,14.966,36.054,36.735,37.415,36.735,35.374,40.816,31.973,39.456,40.136,36.735,25.85,48.98,40.136,22.449
355.829,29.801,22.517,30.464,23.841,19.868,27.815,29.139,13.245,26.49,27.152,27.815,28.477,38.411,14.57,15.232,28.477,29.139,9.934
356.094,28.873,34.507,28.873,29.577,17.606,35.211,26.761,23.239,26.056,21.127,26.056,34.507,40.845,18.31,9.155,15.493,34.507,29.577
356.359,18.116,10.145,15.942,5.797,16.667,25.362,0.0,14.493,0.0,1.449,15.942,12.319,23.188,16.667,13.768,10.87,5.072,26.812
356.624,14.876,0.0,8.264,0.0,4.132,23.967,0.0,9.917,4.959,9.917,19.008,12.397,13.223,20.661,7.438,2.479,0.0,21.488
356.889,19.091,12.727,8.182,6.364,0.0,19.091,0.0,0.909,21.818,5.455,3.636,10.909,10.0,24.545,6.364,12.727,19.091,22.727
357.155,17.822,25.743,16.832,0.0,8.911,16.832,0.0,0.0,37.624,10.891,2.97,7.921,10.891,19.802,13.861,11.881,0.0,0.0
357.420,15.217,20.29,15.217,0.0,7.246,17.391,13.043,0.0,12.319,26.812,22.464,15.217,20.29,15.942,10.87,9.42,0.0,1.449
357.685,18.75,17.361,18.75,13.194,24.306,34.028,25.694,0.0,5.556,36.111,30.556,21.528,29.167,25.694,16.667,8.333,2.083,15.972
357.950,10.0,0.0,21.429,19.286,17.143,17.857,8.571,9.286,14.286,26.429,19.286,13.571,18.571,15.714,7.857,0.714,0.0,15.0
358.215,24.719,21.91,26.404,28.652,32.022,19.663,14.607,20.225,24.719,32.022,20.787,14.045,25.281,29.213,17.416,7.303,15.169,15.73
358.481,29.032,17.204,25.269,40.323,26.344,25.269,12.903,35.484,29.032,33.871,28.495,11.29,23.118,33.871,12.366,10.753,22.043,18.817
358.746,22.543,12.139,17.341,45.087,25.434,30.058,14.451,33.526,15.029,19.653,27.746,7.514,21.965,30.636,2.312,0.0,19.653,23.121
359.011,28.916,16.265,7.831,28.313,22.892,21.084,18.072,24.096,10.843,16.867,24.096,12.048,7.831,34.337,10.241,0.0,12.048,8.434
359.276,11.111,18.954,8.497,9.804,11.765,17.647,7.19,13.072,7.19,23.529,20.261,9.15,3.922,32.026,0.0,0.0,5.882,0.0
359.541,17.808,22.603,11.644,2.74,8.904,22.603,6.849,7.534,7.534,24.658,19.178,2.055,12.329,19.178,4.795,0.0,0.0,0.0
359.806,13.333,19.333,8.0,8.0,17.333,14.667,0.0,16.667,14.0,6.0,17.333,0.0,0.0,9.333,0.0,0.0,0.0,0.0
360.071,16.265,23.494,20.482,16.265,16.867,30.723,0.0,19.88,22.892,16.265,22.892,14.458,0.0,18.072,2.41,0.0,9.036,2.41
360.336,22.449,17.347,22.449,25.51,17.347,32.143,10.204,19.898,18.878,20.918,30.102,19.388,24.49,20.408,19.898,24.49,14.286,6.122
360.602,30.055,13.115,25.137,31.148,24.59,30.601,26.776,15.847,13.115,12.022,33.333,19.126,23.497,21.311,21.311,22.951,8.197,22.404
360.867,22.754,10.778,19.76,26.946,22.156,22.754,17.365,10.778,13.174,5.988,26.946,13.772,8.982,19.76,8.982,19.76,14.371,23.952
361.132,0.0,10.241,5.422,19.277,12.651,21.687,12.651,12.048,1.807,3.012,20.482,14.458,0.0,1.205,0.0,5.422,11.446,14.458
361.397,0.0,17.949,6.154,19.487,13.333,20.513,9.744,11.282,15.385,9.744,18.974,12.821,0.0,1.026,0.513,15.897,15.897,12.308
361.662,0.513,10.769,4.615,15.385,17.436,21.026,8.205,15.897,14.872,17.436,17.949,3.59,0.0,6.154,0.0,10.769,12.308,0.0
361.927,9.14,5.914,0.538,12.903,15.591,16.129,0.0,11.828,8.602,11.29,16.667,0.538,0.0,5.376,0.0,10.215,6.989,0.0
362.192,30.303,8.586,11.616,28.283,23.232,29.293,8.081,24.747,12.626,15.152,7.071,11.616,3.03,7.576,0.0,8.586,14.141,0.0
362.457,29.778,13.778,16.444,28.889,18.222,29.778,14.667,17.778,11.111,12.0,3.111,8.889,11.111,5.778,2.222,8.889,8.0,0.0
362.722,19.725,17.431,5.963,27.982,12.385,17.431,13.761,14.22,10.55,9.633,6.881,8.716,15.138,5.046,0.0,11.009,2.294,3.67
362.987,29.707,20.502,10.042,25.105,17.992,15.9,20.502,20.502,20.084,18.828,13.808,19.665,13.389,15.063,5.439,20.921,4.184,11.297
363.252,30.233,25.194,6.589,26.357,16.279,17.442,22.093,20.155,23.256,14.341,18.217,21.318,17.442,19.38,13.953,19.767,6.202,8.527
363.517,25.0,23.438,7.812,19.531,13.281,13.281,18.359,12.109,24.609,12.891,15.625,11.719,15.234,13.281,7.812,7.031,1.953,3.516
363.782,23.645,19.704,3.448,15.271,2.956,14.286,13.793,5.419,15.764,12.808,0.0,2.463,6.404,0.0,0.0,0.0,0.0,0.0
364.047,24.87,32.124,12.435,11.399,13.472,25.389,17.098,17.098,14.508,25.907,6.218,5.181,17.098,13.99,0.0,2.591,0.0,6.736
364.312,13.706,22.335,5.076,4.569,14.213,13.706,12.69,10.152,4.569,18.274,8.629,0.0,11.675,15.228,0.0,0.0,0.0,0.0
364.577,11.504,19.027,15.487,19.469,11.062,12.389,18.584,10.177,16.814,12.389,15.929,17.257,9.735,13.717,2.212,5.752,8.85,0.0
364.842,10.256,16.239,13.248,10.684,0.0,8.974,7.265,10.256,19.231,6.41,22.222,11.111,14.957,0.427,0.0,4.701,7.265,0.0
365.107,10.784,13.725,4.902,3.922,0.0,7.353,3.922,0.0,7.843,2.451,10.294,4.412,0.0,1.961,0.0,1.471,0.0,0.0
365.372,20.465,18.605,8.837,13.953,7.907,13.953,12.558,11.163,21.395,10.698,13.488,13.953,8.372,9.302,0.0,7.442,6.512,0.0
365.637,19.313,22.318,19.313,22.318,20.172,20.172,23.176,21.459,30.472,18.884,18.026,21.459,20.172,18.884,16.738,17.597,6.867,4.292
365.902,24.793,26.446,22.314,26.86,28.926,21.488,34.711,26.446,27.273,24.38,25.62,21.901,26.446,20.248,26.86,14.876,14.05,11.57
366.167,15.226,18.107,15.226,30.864,13.992,15.226,21.399,17.695,18.519,17.695,25.103,2.881,24.691,26.337,14.403,11.111,8.23,6.173
366.432,13.115,16.803,11.885,28.279,14.344,18.033,18.443,15.574,18.852,17.623,18.443,5.328,9.426,15.574,8.607,4.098,5.328,3.279
366.697,19.691,28.185,21.236,25.097,14.672,22.394,16.988,20.463,23.938,15.058,27.799,14.286,20.463,10.425,10.811,16.602,9.266,2.317
366.962,33.217,27.972,26.923,31.818,24.476,26.224,23.077,33.566,30.07,22.378,29.021,22.378,22.378,16.084,23.776,19.93,10.839,9.091
367.226,30.323,25.806,24.194,28.387,24.839,25.806,25.806,28.065,32.581,21.613,29.355,26.129,21.29,19.032,21.613,14.839,10.968,12.581
367.491,25.524,12.937,19.93,25.874,26.224,26.224,20.28,22.727,22.727,13.986,23.077,23.427,18.182,8.042,12.238,11.538,7.692,0.0
367.756,23.132,20.285,15.302,24.555,24.199,22.42,16.014,16.726,25.623,17.082,14.947,20.641,16.014,2.135,13.879,3.915,6.762,0.0
368.021,15.068,13.356,10.616,18.836,13.699,10.959,15.411,17.466,19.521,12.329,10.274,17.123,15.411,1.37,9.589,0.0,4.795,0.0
368.286,14.426,12.459,22.295,21.311,19.344,13.77,20.328,23.607,13.443,13.115,10.492,14.098,10.82,6.557,7.541,0.0,13.443,0.984
368.551,15.203,20.946,28.041,24.324,18.243,11.824,23.649,26.351,12.838,18.581,14.527,11.486,13.851,9.797,4.73,2.365,9.122,0.0
368.816,21.875,23.437,27.5,24.375,20.625,24.375,20.937,23.125,12.5,15.312,19.375,12.813,19.687,13.437,11.562,8.125,9.063,2.812
369.081,26.301,26.012,26.301,28.324,28.324,30.636,23.41,23.699,18.497,20.809,20.52,14.74,18.497,12.428,11.561,9.538,12.717,3.757
369.345,26.667,32.778,29.444,31.944,30.556,28.333,26.111,29.167,28.611,18.056,26.667,18.056,23.889,19.444,14.444,18.889,16.667,3.333
369.610,26.796,29.558,29.834,29.558,31.492,33.978,27.624,27.901,30.939,17.403,25.967,17.127,23.757,20.166,14.641,11.602,16.022,7.182
369.875,28.775,30.769,31.054,27.92,31.909,34.758,23.077,30.484,36.752,22.792,23.647,21.083,19.373,21.937,10.256,13.96,13.675,9.972
370.140,29.609,26.257,25.14,22.067,25.978,30.447,22.905,26.536,26.257,20.391,22.905,14.525,12.011,17.598,9.218,9.497,11.173,6.425
370.405,24.148,23.011,22.727,20.17,23.58,24.716,22.727,21.307,18.75,22.159,18.182,12.784,13.352,11.932,8.239,7.102,5.398,0.852
370.669,23.242,20.795,21.713,17.125,19.878,20.183,22.63,25.382,16.208,23.242,15.596,12.844,18.96,10.398,4.281,8.563,8.563,0.0
370.934,18.885,16.099,19.195,21.362,17.337,19.505,17.028,21.981,13.932,15.17,15.48,16.099,13.622,18.576,0.31,3.096,6.192,0.0
371.199,26.074,24.069,20.344,24.355,16.619,20.63,15.186,21.203,18.052,17.479,13.467,14.327,11.748,15.759,3.152,5.158,2.865,0.0
371.464,27.248,26.158,28.065,28.883,17.439,25.613,22.888,24.796,21.798,23.433,20.163,13.079,12.534,11.717,5.45,10.627,5.45,0.0
371.728,31.398,28.232,30.343,29.551,24.538,33.509,31.135,29.288,29.288,24.011,26.385,12.929,16.359,15.303,11.609,10.818,12.401,2.375
371.993,29.925,30.923,27.93,26.683,28.678,32.918,32.668,31.92,30.175,22.444,26.434,12.718,19.701,18.454,14.214,10.474,7.481,1.995
372.258,24.396,29.227,22.947,23.913,22.947,29.952,32.609,31.401,25.845,21.014,20.773,18.116,17.874,13.527,12.319,8.696,6.039,2.657
372.523,24.146,29.512,21.463,19.512,21.22,27.805,31.951,26.585,24.39,19.268,19.756,17.317,13.171,14.146,11.22,4.878,4.878,0.732
372.787,30.597,24.378,23.881,18.159,26.617,29.353,30.597,25.622,25.871,21.393,16.169,16.169,12.189,16.169,10.945,7.711,3.98,1.244
373.052,30.769,27.273,24.709,23.776,27.273,26.107,34.266,26.573,27.04,27.972,21.445,20.28,14.918,15.851,14.918,11.655,5.128,8.392
373.317,29.587,28.211,24.083,25.459,31.193,27.294,30.963,28.899,30.963,28.899,20.872,17.89,11.697,16.514,11.468,13.532,3.44,7.339
373.582,27.273,28.205,28.205,27.972,34.033,25.641,29.837,31.702,28.904,25.175,20.979,24.242,13.054,16.55,10.723,13.986,3.263,4.895
373.846,26.699,29.612,25.485,29.612,32.524,28.641,25.728,33.738,31.311,25.728,23.544,25.0,17.718,16.505,15.291,13.107,9.951,3.641
374.111,29.291,28.833,25.4,27.918,29.062,30.664,30.664,29.977,27.918,19.908,24.027,23.57,16.476,14.874,10.069,11.899,13.73,0.0
374.376,33.333,28.571,28.118,25.17,31.746,28.571,31.066,31.973,25.397,25.85,23.129,19.955,13.152,14.512,7.029,6.122,7.256,0.68
374.640,33.111,29.111,27.778,26.0,32.0,23.556,32.667,34.667,27.111,29.556,20.444,15.556,16.444,14.889,8.889,6.0,3.333,8.0
374.905,34.879,30.022,28.918,24.945,32.892,26.711,32.671,31.126,29.36,28.477,25.166,21.192,16.556,16.556,6.843,10.155,1.325,7.726
375.170,30.172,29.957,31.25,25.431,41.164,32.759,33.19,31.897,27.802,29.741,25.0,21.552,16.81,16.164,2.371,10.129,6.681,1.509
375.434,30.169,29.958,27.637,33.966,39.662,35.232,35.654,29.747,29.114,33.333,28.692,23.629,21.519,14.768,7.806,9.283,7.384,1.477
375.699,30.087,27.706,22.727,31.818,30.519,29.87,30.952,26.84,25.758,26.407,24.026,22.511,15.368,10.823,3.247,7.576,3.03,0.0
375.964,36.207,34.698,24.784,32.543,28.448,32.759,32.328,28.017,27.155,26.293,19.181,20.474,13.578,15.302,9.914,8.19,2.586,0.0
376.228,38.78,36.614,29.921,36.22,31.693,34.449,35.63,34.252,28.937,31.102,24.213,21.85,17.126,21.063,13.976,11.614,7.283,5.315
376.493,32.657,36.308,27.789,36.308,30.629,31.44,32.86,31.44,28.6,29.209,20.892,14.604,15.822,18.864,9.533,6.694,5.477,0.811
376.757,32.056,37.097,30.645,35.685,32.863,34.677,34.879,31.25,32.661,34.274,25.403,20.161,15.323,14.718,10.081,8.065,5.04,2.419
377.022,31.743,37.137,31.95,36.515,38.797,37.759,36.929,31.12,31.12,28.008,29.253,22.614,16.39,13.278,9.544,10.373,4.564,6.224
377.287,38.347,41.737,40.254,36.229,42.585,40.254,40.89,36.441,31.568,31.992,33.898,19.492,13.983,14.619,10.805,10.593,6.992,7.627
377.551,36.739,38.114,35.363,34.578,39.293,35.756,37.721,34.774,29.862,31.238,29.273,17.878,17.289,15.521,13.752,12.377,4.912,5.894
377.816,39.612,37.282,36.699,38.447,36.311,40.777,38.252,36.505,33.786,32.233,28.932,18.447,18.252,15.922,13.981,10.874,2.524,4.66
378.080,37.938,35.992,41.245,42.218,37.743,41.44,38.521,39.689,34.436,35.214,30.156,21.012,17.315,16.148,12.062,10.117,2.529,0.584
378.345,38.521,36.381,41.44,42.996,40.661,41.44,39.689,39.3,35.409,32.296,28.794,22.374,16.926,14.202,11.089,8.755,1.946,0.389
378.609,39.319,40.265,42.722,41.021,37.807,42.344,39.887,37.24,37.996,33.081,24.386,23.251,18.336,13.043,10.964,7.75,3.97,2.647
378.874,37.209,41.085,40.504,39.729,35.078,42.054,41.279,41.473,37.016,31.783,22.287,20.155,18.023,10.271,9.496,2.713,4.264,0.0
379.139,36.571,41.333,41.143,43.429,39.048,40.381,38.286,40.19,35.619,29.905,27.048,21.333,20.762,10.476,8.762,5.143,6.667,0.0
379.403,36.92,38.961,39.703,40.26,42.301,41.002,31.54,38.776,34.694,30.427,30.056,19.481,20.779,14.286,8.72,5.751,3.896,0.0
379.668,39.318,40.575,41.652,42.37,42.549,42.549,37.163,43.627,33.214,31.418,29.264,23.519,19.031,16.338,11.67,9.156,3.232,3.591
379.932,46.397,41.652,43.937,41.652,43.585,43.234,41.476,45.167,34.095,33.568,30.053,22.671,20.914,18.453,13.884,8.612,7.733,5.8
380.197,43.546,40.792,45.783,41.997,44.406,45.267,44.062,43.201,35.456,34.251,27.539,23.924,23.752,17.728,16.179,8.434,6.885,6.024
380.461,43.729,42.574,45.38,43.564,46.37,45.05,44.389,42.244,38.449,33.828,27.723,24.257,20.627,17.492,16.172,10.066,7.426,4.95
380.726,44.811,41.845,42.175,42.339,48.27,42.998,43.987,39.374,37.068,33.773,26.194,26.853,17.957,14.003,15.98,11.367,6.26,4.448
380.990,45.611,44.044,42.163,44.828,47.022,43.103,45.455,40.596,37.774,33.229,27.273,29.937,19.749,15.831,14.577,8.621,6.583,3.448
381.254,48.67,45.07,45.383,48.044,46.948,44.444,45.227,41.002,40.376,32.081,30.673,28.326,20.344,17.84,13.146,8.764,5.79,3.756
381.519,49.765,46.792,46.635,50.861,49.296,45.696,45.853,42.254,42.097,32.707,31.455,29.734,23.944,20.97,13.772,10.955,5.947,3.756
381.783,49.155,48.08,46.39,47.926,48.541,47.465,47.005,46.39,41.628,32.412,31.951,27.65,21.198,19.355,12.596,7.988,4.762,0.768
382.048,48.165,46.024,46.024,49.388,46.789,47.859,44.801,46.177,41.284,33.18,27.676,25.076,21.101,18.196,11.315,5.963,5.657,0.153
382.312,45.509,46.257,46.557,48.952,45.808,49.85,45.958,45.509,40.269,33.832,29.341,23.952,20.808,16.317,12.575,7.036,2.844,1.048
382.577,46.334,47.801,49.853,48.094,45.601,49.12,47.507,43.842,40.469,35.777,28.446,22.581,20.235,18.182,14.076,9.531,4.252,3.519
382.841,49.15,47.875,50.567,49.292,48.017,49.15,47.875,42.21,38.81,37.96,31.586,22.238,20.822,19.547,11.615,10.623,7.649,4.391
383.106,50.211,49.508,51.758,47.961,51.477,47.961,48.664,41.772,39.803,35.443,29.114,23.91,19.691,16.315,12.799,9.986,7.314,3.516
383.370,50.476,51.837,52.653,48.844,52.381,49.524,45.578,43.537,42.177,32.925,28.435,25.85,18.095,17.551,9.252,11.02,8.435,2.449
383.634,52.473,54.945,53.571,50.412,55.495,51.511,46.291,44.505,41.758,33.242,31.319,28.159,21.703,18.956,9.341,8.379,8.929,3.159
383.899,51.95,55.71,51.811,52.925,55.571,51.532,48.468,44.708,41.226,32.869,30.223,25.905,20.334,16.156,10.724,6.685,7.521,2.368
384.163,49.33,53.887,51.475,56.434,53.083,48.123,48.66,46.649,38.606,32.976,31.367,25.201,20.912,17.158,12.601,8.311,5.094,1.609
384.427,50.617,50.617,52.263,54.184,51.303,46.502,47.188,46.365,38.957,31.824,28.807,22.771,21.536,12.894,11.385,4.938,1.92,0.0
384.692,53.538,49.933,53.405,54.473,50.2,49.933,47.931,47.263,40.721,32.443,29.506,20.828,21.896,14.686,13.084,6.142,5.741,2.67
384.956,54.605,53.421,55.263,56.447,53.816,51.842,49.868,47.105,41.579,34.605,28.289,22.632,22.895,14.868,13.158,6.711,3.553,4.605
385.221,54.416,55.195,54.545,53.117,53.636,52.338,49.87,47.013,39.74,36.104,28.312,24.545,22.987,14.026,12.468,7.403,2.078,0.519
385.485,57.519,59.774,56.767,54.762,55.514,51.88,49.749,46.617,39.975,35.088,27.694,23.434,22.682,13.91,12.155,7.519,3.258,0.0
385.749,58.753,61.631,56.595,56.475,55.875,53.118,50.719,47.002,40.767,35.012,28.537,24.94,24.101,17.146,12.59,11.511,4.676,4.436
386.014,59.739,62.47,55.938,57.957,57.72,52.732,49.881,48.812,42.518,35.867,28.029,25.297,22.684,17.815,13.42,12.233,5.701,4.988
386.278,58.411,59.813,56.075,52.57,54.907,51.051,51.752,46.963,41.121,33.528,27.453,22.079,19.276,15.654,10.631,7.827,2.804,3.621
386.542,59.753,57.848,58.296,56.39,56.726,51.906,52.578,48.43,41.704,32.848,29.036,24.664,18.946,18.946,12.444,8.744,6.278,3.475
386.806,57.159,56.718,58.37,56.938,57.489,52.974,52.203,47.247,40.859,32.379,27.643,25.11,19.383,17.511,9.251,6.718,4.846,2.093
387.071,59.824,59.166,58.727,58.397,57.19,54.336,53.787,48.518,41.603,32.382,28.101,25.686,21.515,16.685,10.648,6.586,2.305,1.098
387.335,62.262,62.822,61.03,61.254,60.022,57.559,55.207,46.697,41.769,32.363,28.891,28.331,21.053,16.573,9.742,5.711,2.912,0.0
387.599,63.696,62.486,61.496,60.836,60.946,58.636,56.216,48.295,41.474,34.763,29.593,24.862,21.672,18.482,9.791,8.251,5.941,1.54
387.864,62.833,58.573,60.49,58.466,61.129,57.827,54.207,48.882,41.001,35.037,28.647,23.216,20.341,18.424,9.372,7.348,4.473,1.065
388.128,61.294,59.138,60.062,56.776,57.803,57.803,52.464,46.304,41.684,34.189,29.774,24.025,20.842,14.99,10.164,6.366,4.312,0.719
388.392,61.655,60.343,61.251,59.132,55.197,56.408,51.766,47.124,42.886,33.3,30.172,26.741,20.585,14.329,10.394,6.054,4.743,1.615
388.656,62.561,61.779,61.486,59.238,57.674,56.403,51.417,45.552,43.206,33.627,30.01,26.979,19.55,17.107,10.459,7.625,6.94,4.008
388.921,62.573,61.793,60.136,59.747,58.285,57.212,53.021,46.881,40.936,33.821,29.045,25.439,19.201,15.595,9.649,7.115,6.335,3.314
389.185,64.046,60.499,59.54,60.211,57.814,57.143,52.349,48.514,40.077,34.995,30.105,24.545,19.559,16.107,11.218,6.616,5.273,3.356
389.449,62.935,59.36,60.677,60.489,58.514,56.538,52.023,48.166,39.793,34.901,29.727,23.518,19.944,16.181,11.853,7.714,4.421,2.916
389.713,63.822,61.224,61.503,61.781,57.978,58.349,52.597,49.165,41.466,35.158,31.447,26.067,20.965,16.976,12.709,7.421,5.751,2.968
389.977,65.542,64.084,62.534,61.987,58.159,59.799,54.148,49.499,40.93,34.275,30.811,26.253,20.602,17.776,13.582,6.381,5.469,2.37
390.242,66.244,65.701,63.529,62.986,59.457,60.633,54.208,49.955,41.629,33.303,29.955,25.792,20.814,16.652,12.941,5.158,3.982,2.805
390.506,65.123,66.485,65.849,62.398,63.488,60.036,55.132,47.956,42.507,32.698,30.154,25.976,20.527,15.077,11.172,5.995,3.542,2.816
390.770,66.667,65.684,64.343,61.394,62.198,58.892,54.781,48.704,41.019,33.423,32.172,23.503,21.269,16.622,10.009,8.579,3.843,1.966
391.034,66.034,63.534,64.052,60.086,59.397,58.534,54.138,48.966,39.483,35.0,30.086,24.052,21.466,16.638,11.121,6.724,5.948,1.466
391.298,66.555,61.777,64.04,61.442,57.837,57.167,54.233,49.371,38.391,34.032,30.176,25.398,20.62,15.759,9.723,5.951,5.197,1.341
391.562,67.769,63.719,65.868,63.554,61.653,59.174,55.62,49.421,40.413,33.802,30.826,27.686,22.645,16.116,9.669,8.182,5.372,1.653
391.827,65.591,64.268,64.185,62.779,61.456,60.215,54.921,47.312,39.702,32.754,28.122,26.882,22.911,14.144,8.437,7.031,4.136,0.0
392.091,64.314,65.838,62.871,62.39,62.31,61.107,54.691,46.191,39.695,35.204,28.949,27.666,23.015,15.798,10.104,7.137,6.255,2.646
392.355,63.902,64.455,63.033,60.506,61.058,59.953,55.292,45.893,38.705,33.491,31.596,25.829,20.616,14.455,9.4,8.926,6.951,4.186
392.619,65.089,64.003,64.236,60.822,61.831,60.512,55.469,46.315,39.178,33.825,30.721,26.144,21.412,15.05,10.551,9.93,7.448,3.801
392.883,66.438,66.438,64.536,62.481,64.003,61.72,54.718,47.489,39.954,35.616,31.05,26.56,22.755,16.819,11.796,12.1,8.676,5.023
393.147,65.919,66.069,64.051,61.883,63.079,60.389,52.84,45.067,39.761,33.408,29.447,24.963,22.197,17.115,11.36,9.791,7.175,2.99
393.411,66.441,66.065,64.334,61.701,63.356,58.841,52.22,44.62,40.632,33.183,28.969,26.185,21.445,16.855,11.211,7.75,5.719,2.257
393.675,68.028,68.028,66.333,62.558,63.251,57.935,52.465,44.915,40.216,31.818,29.122,27.273,20.647,16.256,9.63,6.857,5.47,0.77
393.939,69.225,67.857,66.869,64.514,64.666,59.271,53.647,46.657,41.337,32.371,29.255,26.9,20.669,16.793,10.79,7.447,6.079,2.052
394.204,67.043,65.613,66.366,63.205,63.431,57.035,51.693,45.598,40.181,31.302,28.743,24.153,18.886,14.372,7.976,5.869,3.913,0.15
394.468,67.723,64.849,65.733,62.564,63.007,57.848,50.995,44.657,39.499,32.277,29.035,23.508,17.612,14.738,7.885,6.338,3.242,1.621
394.732,69.09,66.373,66.3,63.142,63.656,58.003,51.175,44.126,39.354,33.26,29.736,23.642,18.796,15.125,8.15,6.755,4.479,1.982
394.996,67.399,66.407,66.619,64.635,62.651,56.556,50.39,43.586,39.05,31.751,29.057,25.089,19.277,14.954,10.347,7.938,5.599,3.544
395.260,66.248,66.318,65.69,65.551,62.971,56.206,49.791,44.7,38.424,33.403,29.637,25.314,19.874,15.063,10.669,9.066,6.206,4.114
395.524,66.134,66.551,65.16,65.716,60.918,56.954,48.748,45.132,36.022,33.032,29.207,23.644,19.541,14.256,9.666,7.997,5.007,3.825
395.788,66.758,66.415,65.453,64.629,60.371,57.898,49.382,44.162,36.538,32.349,29.258,22.802,19.986,14.354,11.126,6.937,3.777,1.992
396.052,66.849,66.849,66.235,65.484,62.142,58.254,50.546,42.565,37.04,31.719,28.922,23.67,19.645,13.847,10.573,6.003,4.502,1.705
396.316,67.76,67.008,67.145,65.915,62.363,57.719,49.932,42.623,36.407,31.831,28.005,25.342,18.716,13.046,8.402,5.601,3.962,0.478
396.580,67.713,68.532,68.259,67.577,63.14,57.679,50.58,44.642,38.567,33.993,30.375,27.782,19.317,14.13,9.488,6.689,6.143,1.98
396.844,67.225,68.566,67.962,66.756,63.405,57.306,51.005,45.241,37.802,34.517,30.965,27.011,18.7,14.946,10.322,5.831,6.367,2.748
397.108,68.176,67.909,67.909,66.977,63.582,57.124,50.932,45.073,36.218,33.023,29.161,26.032,18.242,14.98,10.186,5.792,5.06,2.996
397.372,67.799,66.754,67.472,66.427,62.378,57.283,51.078,43.828,36.055,33.116,28.609,25.016,17.244,15.415,10.059,6.989,4.899,2.09
397.636,69.092,67.023,68.358,66.756,63.618,56.943,51.001,43.057,35.781,33.645,28.171,23.164,17.156,12.884,8.879,5.741,2.804,0.467
397.900,72.011,67.148,68.594,67.148,64.192,57.622,50.986,44.612,36.465,34.428,30.092,25.887,19.514,14.06,11.498,6.307,5.059,2.102
